Original project,Forked project,Commits Identifying the issue,Commits fixng the issue
https://github.com/apache/ant,https://github.com/austinsimmons1/ant,https://github.com/austinsimmons1/ant/commit/cd8ffcda860c6c5b6c61a3ea76cf4302e8aaf88a,https://github.com/austinsimmons1/ant/commit/cd321dad54d65d7c256ca5afa84a161f7992 53ab
https://github.com/apache/ant,https://github.com/austinsimmons1/ant,https://github.com/austinsimmons1/ant/commit/545779b631eb506476357749d8baca9543c94d56,https://github.com/austinsimmons1/ant/commit/400fe73912717fc220f2b1260cf8e82fd87c 2051
https://github.com/apache/ant,https://github.com/austinsimmons1/ant,https://github.com/austinsimmons1/ant/commit/ed841e4f414adbdeaecf15b6065f1fa9207b5598,https://github.com/austinsimmons1/ant/commit/93b3386390ac1912ad290a961d4b4d112ed d933e
https://github.com/apache/ant,https://github.com/austinsimmons1/ant,https://github.com/austinsimmons1/ant/commit/93eb99d51a7d04671928828e062160b73c29614a,https://github.com/austinsimmons1/ant/commit/1ec7e8850a3e775b08587e362ef5bc7dfa97 e2f6
https://github.com/apache/ant,https://github.com/austinsimmons1/ant,https://github.com/austinsimmons1/ant/commit/c63349ae954f830d719931581258d452b9fd1131,https://github.com/austinsimmons1/ant/commit/da1ab68c53319f2710ee56b7f155850e702 45a50
https://github.com/apache/ant,https://github.com/austinsimmons1/ant,https://github.com/austinsimmons1/ant/commit/d226e71c95e80a6c05e4ae056c74850f9385df64,https://github.com/austinsimmons1/ant/commit/facf02570af6d1f5a6d5165d774ef082a490 dac6
https://github.com/apache/ant,https://github.com/austinsimmons1/ant,https://github.com/austinsimmons1/ant/commit/311b6eef1ca3f954aa910a97fa87f790d33601e9,https://github.com/austinsimmons1/ant/commit/eb4410d51b1c1648ab100f1101307fe1ad3 bcaf3
https://github.com/apache/ant,https://github.com/austinsimmons1/ant,https://github.com/austinsimmons1/ant/commit/9997b10f3d31aec92835b0f80631382149abdf72,https://github.com/austinsimmons1/ant/commit/58ddc1aa22b51437c538b48f8913bb9a55d 52fc2
https://github.com/apache/ant,https://github.com/austinsimmons1/ant,https://github.com/austinsimmons1/ant/commit/1e9595df6bab1b81eabfe28d8be5f4211abeaf7b,https://github.com/austinsimmons1/ant/commit/c98385da9feed8ffa0ebb078f3367c0494d6 434c
https://github.com/apache/ant,https://github.com/austinsimmons1/ant,https://github.com/austinsimmons1/ant/commit/ef2b8809655d2bbe08eb1c71cc8fd37113f43d74,https://github.com/austinsimmons1/ant/commit/9df968fadcad04e9d935f62420b11aab7f49 b9d6
https://github.com/apache/ant,https://github.com/ChunYu-Lee/ant ,https://github.com/ChunYu-Lee/ant/commit/5354b763ea5feb0e9c3e2f0afd5ceb28a6b29fe4,https://github.com/ChunYu-Lee/ant/commit/d38c505ea35877e00a9a310c7d34ae26bef12894
https://github.com/apache/ant,https://github.com/ChunYu-Lee/ant ,https://github.com/ChunYu-Lee/ant/commit/203826073eb95389da788d97fda6275604eeb304,https://github.com/ChunYu-Lee/ant/commit/b7a076ffa6bd640d3a104e3b07deaa477a37c67c
https://github.com/apache/ant,https://github.com/ChunYu-Lee/ant ,https://github.com/ChunYu-Lee/ant/commit/83507466bd9eac8fa072cbacd1891efaa61052e5,https://github.com/ChunYu-Lee/ant/commit/ab3233ca18434987c2e5b16c217745fa0819c13a
https://github.com/apache/ant,https://github.com/ChunYu-Lee/ant ,https://github.com/ChunYu-Lee/ant/commit/a279a4eee6ce43d9ba031bbc043593e32b07154f,https://github.com/ChunYu-Lee/ant/commit/605a87671738eae7add0c2a7186fb5f33ad6294a
https://github.com/apache/ant,https://github.com/ChunYu-Lee/ant ,https://github.com/ChunYu-Lee/ant/commit/a279a4eee6ce43d9ba031bbc043593e32b07154f,https://github.com/ChunYu-Lee/ant/commit/59a4ab1e26f717df968dea8f142ca4350c94faa1
https://github.com/apache/ant,https://github.com/ChunYu-Lee/ant ,https://github.com/ChunYu-Lee/ant/commit/db2ace7c1cadfd1552122ec93746321340600201,https://github.com/ChunYu-Lee/ant/commit/59a4ab1e26f717df968dea8f142ca4350c94faa1 
https://github.com/apache/ant,https://github.com/ChunYu-Lee/ant ,https://github.com/ChunYu-Lee/ant/commit/83530207d9fda19b15e87f39fe27cc41a609440b,https://github.com/ChunYu-Lee/ant/commit/7338f4bdef5f6591314957e33bfb119c5a8110eb
https://github.com/apache/ant,https://github.com/ChunYu-Lee/ant ,https://github.com/ChunYu-Lee/ant/commit/5778b5999f98941b4a9635f59217e6b1da094717,https://github.com/ChunYu-Lee/ant/commit/b78d4ebdc49821f019560d43f0574f892d140307
https://github.com/apache/ant,https://github.com/ChunYu-Lee/ant ,https://github.com/ChunYu-Lee/ant/commit/496787897b02ef7ca98159475975281a10649978,https://github.com/ChunYu-Lee/ant/commit/e8addbaf64cd6b2742e9fafd2c5300e2833cef92
https://github.com/apache/ant,https://github.com/ChunYu-Lee/ant ,https://github.com/ChunYu-Lee/ant/commit/b36e7d6e0efc7f09353fe29e98135d42a5651d88,https://github.com/ChunYu-Lee/ant/commit/9ec16501c1b6491bd506601bf9f969970eb08678
https://github.com/ReactiveX/RxJava,https://github.com/sam2396/RxJava,https://github.com/sam2396/RxJava/commit/8cfda5631b3c0ab0a76c731a e8406ad61f4f0433,https://github.com/sam2396/RxJava/commit/796064608a5f76f10d788c2a 060565b2d2afd9c2
https://github.com/ReactiveX/RxJava,https://github.com/sam2396/RxJava,https://github.com/sam2396/RxJava/commit/3dc63534eab382f57ce2d233 acb10894eb71a445,https://github.com/sam2396/RxJava/commit/1069b0b443751cdd4303628 438700478de9b3425
https://github.com/ReactiveX/RxJava,https://github.com/sam2396/RxJava,https://github.com/sam2396/RxJava/commit/b2d647f1df16f776cf139397 871eda50fa1aa197,https://github.com/sam2396/RxJava/commit/755ca071bb4f8b89ef0397da 8b6a93d01a8fa35a
https://github.com/ReactiveX/RxJava,https://github.com/sam2396/RxJava,https://github.com/sam2396/RxJava/commit/de15a78d5018b2d456bf2bd b0efb0a99723c4cc8,https://github.com/sam2396/RxJava/commit/54dccc7668b9903a986e066 82c5da79e24b464fa
https://github.com/ReactiveX/RxJava,https://github.com/sam2396/RxJava,https://github.com/sam2396/RxJava/commit/0a7687195c996d83a814c0a 7095f739786f9ac8f,https://github.com/sam2396/RxJava/commit/f344564bc4fa70d9e5c471be e83b493f35cee4be
https://github.com/ReactiveX/RxJava,https://github.com/sam2396/RxJava,https://github.com/sam2396/RxJava/commit/178521f6c86afe55f277574c df6f195753d080e1,https://github.com/sam2396/RxJava/commit/10d4a6949ec52d69b78c334 ea9e2fae166bedebc
https://github.com/ReactiveX/RxJava,https://github.com/sam2396/RxJava,https://github.com/sam2396/RxJava/commit/592b21b51384a365a391bc4 192311543355d61af,https://github.com/sam2396/RxJava/commit/d9fbd4c0b11c3b48996ab6b 1df7cf91305ce8148
https://github.com/ReactiveX/RxJava,https://github.com/sam2396/RxJava,https://github.com/sam2396/RxJava/commit/ab4e6a4d808d51dec5bc960 bdfccdb30d02c11f2,https://github.com/sam2396/RxJava/commit/2691624583c3decd6a2627d b7f088abe94ef85e0
https://github.com/ReactiveX/RxJava,https://github.com/sam2396/RxJava,https://github.com/sam2396/RxJava/commit/86a0a98d31fe1ee610a22603 d059f3f56c17b8b3,https://github.com/sam2396/RxJava/commit/1808f4d70d47a31321a8683 18604121327da2e0b
https://github.com/ReactiveX/RxJava,https://github.com/sam2396/RxJava,https://github.com/sam2396/RxJava/commit/1a3de64769668602274342f 5d2759d6db6384f33,https://github.com/sam2396/RxJava/commit/d0c74c221ccb9308119a636 950ee594147e49be
https://github.com/ReactiveX/RxJava,https://github.com/Mayuresh-12/RxJava,https://github.com/Mayuresh-12/RxJava/commit/481180120b78dcb6fde8c880c88f0afe14 664b07,https://github.com/Mayuresh-12/RxJava/commit/abebef03b656434e27af116333211a486 a42ec39
https://github.com/ReactiveX/RxJava,https://github.com/Mayuresh-12/RxJava,https://github.com/Mayuresh-12/RxJava/commit/13f55654cd03277622d093c8d3d7d34bf de56471,https://github.com/Mayuresh-12/RxJava/commit/8ecefb737d99fb59681b528c183f37250 622bfb3
https://github.com/ReactiveX/RxJava,https://github.com/Mayuresh-12/RxJava,https://github.com/Mayuresh-12/RxJava/commit/9e5f0659ba58864a7ceddcecfb2caee02 cab36e9,https://github.com/Mayuresh-12/RxJava/commit/ab331de5f50e06d5c0f9b7519ef655725 48d794d
https://github.com/ReactiveX/RxJava,https://github.com/Mayuresh-12/RxJava,https://github.com/Mayuresh-12/RxJava/commit/bcda37c1cac2deba1916aea60f6b83de0 bb6ffdb,https://github.com/Mayuresh-12/RxJava/commit/a8692c681de5414cca47b109f263be0df 8dd62d3
https://github.com/ReactiveX/RxJava,https://github.com/Mayuresh-12/RxJava,https://github.com/Mayuresh-12/RxJava/commit/e2f0aa51ce07bda3c560477617555d2669bdde761 ,https://github.com/Mayuresh-12/RxJava/commit/24ab500f95442fd055d500e4b255743fe bb251ab
