Commit message,Class
extract method.,extract
Minor tweaks following review extraction of methods plus throwing upon unexpected data when mapping genres.,extract
extract some stuff to a method[git p4: depot paths   //coremedia/jangaroo/ : change   155813],extract
extract some methods in DoiServiceImpl,extract
refactoring getMenuSpace in Navigation: extract isEmptyMainMenu querymethod,extract
extract method resolveTemplatePath,extract
refactorings extract methods for moveTreeDocAfter,extract
extracted method setRightsOnUserDoc,extract
extract method getMetaTags,extract
Extract setup of default HttpParams into public static methodgit svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1045232 13f79535 47bb 0310 9956 ffa450edef68,extract
HTTPCLIENT 1032: Refactor to clean up duplicated code in cacheentry validation (regular and variant reuse negotation) byextracting code to shared method.git svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1045357 13f79535 47bb 0310 9956 ffa450edef68,extract
HTTPCLIENT 1032: Refactor to clean up duplicated code in cacheentry validation (regular and variant reuse negotation) byextracting code to shared method.git svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1045357 13f79535 47bb 0310 9956 ffa450edef68,extract
HTTPCLIENT 975: refactoring primary execute method in CachingHttpClient (mostly method extraction).git svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1050878 13f79535 47bb 0310 9956 ffa450edef68,extract
HTTPCLIENT 975: more refactoring/method extractiongit svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1051076 13f79535 47bb 0310 9956 ffa450edef68,extract
HTTPCLIENT 975: more method extraction; the body forCachingHttpClient execute now at least fits on one screen. :)git svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1051133 13f79535 47bb 0310 9956 ffa450edef68,extract
Extract setup for materializePull out the setup method for doing a materialize on a PCollectionre using it for in memory mapside joins.,extract
Extract method,extract
o Extracted a few methods to make method fit in 5 printed pages ;)No functional changesgit svn id: https://svn.apache.org/repos/asf/maven/surefire/trunk@1036640 13f79535 47bb 0310 9956 ffa450edef68,extract
o Reduced duplication in mojos extracted nice methodsPatch by Stefan Birkner submitted via github. Reformatted to IntelliJ maven template by me otherwiseunchangedgit svn id: https://svn.apache.org/repos/asf/maven/surefire/trunk@1099576 13f79535 47bb 0310 9956 ffa450edef68,extract
o Extracted a well named method removed a commentgit svn id: https://svn.apache.org/repos/asf/maven/surefire/trunk@1225473 13f79535 47bb 0310 9956 ffa450edef68,extract
o Extracted a few methods,extract
Refactor createOrUpdate method in MongoChannelStore to extract methods and make code more readable,extract
JCBC 58: Refactoring HttpFuture and ViewFutureThis changeset refactors the get() method for both theHttpFuture and the ViewFuture to extract a common codepathinside and reduce duplication.Change Id: I719dad0636cf3f2b0419335fbbe477033c335392Reviewed on: http://review.couchbase.org/22353Reviewed by: Michael Wiederhold <mike@couchbase.com>Tested by: Michael Nitschinger <michael.nitschinger@couchbase.com>,extract
Extract method,extract
Extract generic octal formatting method to simplify code and eliminate array copiesChange leading padding to zeroes as that is more compatible (and required for Posix)git svn id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@760737 13f79535 47bb 0310 9956 ffa450edef68,extract
a few  extract method  refactorings to make code more readable still won t win a beauty contestgit svn id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@1156621 13f79535 47bb 0310 9956 ffa450edef68,extract
Cut overall object instantiation in half by changing fileheader generation algorithm for a 10 15 percent performanceimprovement when archive contains lots of small files.Also extracted two private methods createLocalFileHeaderand createCentralFileHeader in ZipArchiveOutputStream.These may have some interesting additional usages in the near future.This is basically a tactical refactoring ; scatter/gather had awonderful performance in the scatter algorithm but spentan *equal* amount of time in the gather phasegit svn id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@1647787 13f79535 47bb 0310 9956 ffa450edef68,extract
Extract out the method that runs an arbitrary file of SQL statements so I can use it to create an actual upgrade path wiuth migration like things.git svn id: svn://svn.jbidwatcher.com/jbidwatcher/trunk@341 b1acfa68 eb39 11db b167 a3a8cd6b847e,extract
Clean up some overly complex code by extracting usefully named methods. parse is still super complex.,extract
Extract out a method to localize responsibilities.,extract
extracted updateRepository() method to avoid copy/pastegit svn id: https://svn.apache.org/repos/asf/maven/archetype/trunk@986982 13f79535 47bb 0310 9956 ffa450edef68,extract
Extract methods no PngPdfTransformerHelper E iniciando uma fluent interfacezinha para geracao de modulos,extract
avoid code duplication: extract a method,extract
avoid code duplication: extract a method,extract
Extract error handling in a method,extract
extracted method buildQueryURI() so that future QueryExecutor implementations can get the URI object and eventually change it before turning it into a String,extract
extract configureHttpParams() method so we can override it in the application,extract
* ContentExtractorTestBase.javacreateRecorder(String String) new method for creating test Recorder and specifying charsetcreateRecorder(String) deprecate (use default charset as before),extract
Tighten up javascript extraction based on real world analysis (addresses HER 1523)* UriUtils.javanew method isVeryLikelyUri() with tighter heuristic than isLikelyUri()* ExtractorJS.javause UriUtils.isVeryLikelyUri() and change order of operations to do fixup before call to isVeryLikelyUri() since it doesn t expect strings with javascript escaping and stuff* StringExtractorTestBase.javahandle test data with expected value null meaning no outlinks expected* ExtractorHTMLTest.javaavoid redundancy by using the extractor created in ContentExtractorTestBase.setUp()* ExtractorJSTest.javasome new tests,extract
Simplify JnlpProtocolHandlerTest.Some of this is similar to the simplifications for NetworkLayerTest in e9c1af14. This test has also been hitting sporadic hangs / failures primarily on certain OSes etc. These mostly occur in preClose0() also. Similar to that test part of the solution here is to eliminate the repetition of the exact same test.As part of understanding and cleaning up this test I also made a major effort to remove other duplication. And to improve naming and clarity. The individual test methods were lengthy with lots of duplicated code making it hard to understand what they were doing. Indeed some of the tests didn t actually match their name / intention. I extracted out the commonality and tried to make it clearer the variation in each test.This test had continued testing all old versions of the JNLP protocol. There had been TODOs marked to remove them from this test. They ve been deprecated for a long time. Their implementations aren t quite behaving properly particularly when it comes to closing them down which causes contamination with testing the currently supported protocols. With Oracle deprecating JNLP entirely it s time to remove these protocols from this test.,extract
extract method and clean up code,extract
[refactor]: extract write and send method,extract
[refactor]: extract writeNumberArray method,extract
[refactor]: extract method objToJsonObject and objToJsonArray,extract
[refactor]: extract create parser method,extract
[refactor]: extract unwrap method,extract
[refactor]: extract common method,extract
HV 363 extracted two methods,extract
Minor refactoring.Shortened method in NewFolderWindow by extracting button creation code.Prevented null pointer when no mode is specified by defaulting to Mode.NORMAL.,extract
refactor the Main run. Extract a few methods out,extract
IsmAvatar Commit 1.6.0.1.2 (Alpha)Updated CustomFileFilter to handle files without extensions>Does not use a for loopFixed IndexButtonGroup.setValue for non cumulative values>Changed from MapTable to array (stable but non variable size)Updated SoundFrame>Load and Save buttons now load/save sound data (untested)>Layout GUI etc (merged filename label and value)>>addGap method added maybe extract to ResourceFrame?>Appended space to messages.properties SoundFrame.FILE valueUpdated LGM to display the working filename>Updated Listener>>Removed some Listener debugger code for JFileChooser (default folder)>Added Quadduc to credits in LGM>Upgraded MarkO from a hole to jerk : )git svn id: https://lateralgm.svn.sourceforge.net/svnroot/lateralgm@43 8f422083 7f27 0410 bc82 93e204be8cd2,extract
