Commit message,Class
refactor storyreporterbuilder usage to be just-in-time,SAR
Refactor abstract component classes,SAR
Refactored for more logical structure,SAR
support for labels/break/continue  refactored switch blocks,SAR
Refactor data model to use better names,SAR
EMAILPLT-70:  Some refactoring to support the DEMO service better,SAR
Add module  refactory to multiple small packages,SAR
Refactoring to keep old signatures,SAR
Refactored out the coloring. Work on the product configuration.,SAR
Refactor to use pull-shared module.,SAR
Some refactoring of Check  changed under and over to less and greater  added value name fields for less and greater checks  fixed failed method name reporting  fixed bug in identifier check  wrote unit tests for all Check methods.,SAR
Monitoring of task status - Refactoring  more tests  fixing some bugs - more TODO,SAR
[task #8] Refactor: extract common project property modification code into abstract template class.,SAR
refactored code,SAR
minor refactor to create marshalString helper method,SAR
Minor further refactoring of Theory ParameterSupplier setup,SAR
 added ability to generate/edit control file content - minor refactor - save auth details on lose focus event,SAR
[MGN-56] Refactor: delete redundant AbstractRedisHistoricalTimeSeriesSource and add appropiate methods to RedisSimulationSeriesSource,SAR
included review comments and minor refactorings,SAR
Restructure/refactor package hierarchy,SAR
refactoring and cleaning up SES UI,SAR
Refactoring: DesignElement mappings loading is done in Java without PL-SQL,SAR
Player Event rescue and package refactor,SAR
refactored method name,SAR
Refactored ChiIndexUtils to make it package private. Cleans up public API  since it is only used by chi descriptor code. Updated all dependent classes. Moved test code (which needs to be filled in!) as well,SAR
Small refactoring.,SAR
Refactor and fix debug according to recent changes,SAR
Refactored a lot of the other scanner stuff into the partitioner.scanners package and added SQL scanners from Chris Bradford,SAR
refactor package op to operaton,SAR
Minor code/package refactoring for EntityProvider structure,SAR
Refactored EntityMetaDataFactory to EntityTypeFactory,SAR
graph layout : refactoring (renamed some package and pucshed attribute value classes to values package),SAR
Minor refactoring  package-level javadoc  pom updates,SAR
Refactoring from Interface /  Impl package structure,SAR
Refactored messy UI setup into named methods  renamed variables  general cleanup for readability.,SAR
Fixing grammars after refactory from a couple months ago. Removing support to # single line comments. Fixing parsing of inline nested expressions.,SAR
Refactoring to introduce new module,SAR
Refactoring and testing fix features,SAR
Significant refactoring of Security related classes.  See the package documentation for org.springframework.richclient.security for details.,SAR
[refactor] Improve names of integration tests for basic limitations of Tycho,SAR
refactored into two assemblies  core and app,SAR
Refactor for clarity,SAR
refactor and rename tests to prepare for JAXBElements scanning tests,SAR
Refactored model and fixed tests,SAR
New feature: - implemented the first time cycle inquiries for all the cycles  and the login warning - refactored the answers hierarchy classes,SAR
Big refactoring of ParsedResult: now split into ResultParser and ParsedResult classes  per Christian's suggestion. This unifies the parsed results that are produced from various input  simplifying client handling of different types.,SAR
Finished most of the remaining polling consumers.  Created a few new static utilities. Minor refactoring.,SAR
IDE-1663 refactoring pulled up methods to base class,SAR
Refactor: - TextureData to handle Pixmap and Custom TextureType - TextureData consumeCompressedData to consumeCustomData - GLTexture function to uploadImageData to custom mipmap level,SAR
final test and code refactoring,SAR
Deploy2. Now with testing and database argument handling,nonSAR
tests - json - generate html report when data is too large,nonSAR
An actual semi-working plugin now,nonSAR
More generic launchers now using IExecutableExtension.,nonSAR
JSFUNIT-183  getManagedBeanValue() returns shallow objects for Seam conversation scope,nonSAR
NEW - bug 268743: Gallery example need update to show latest features https://bugs.eclipse.org/bugs/show_bug.cgi?id=268743,nonSAR
Got Aspect-Orientation-Sample running ... @DanielS will call you and explain ASAP,nonSAR
NEW - bug 308214: Allow bundle selection via features in OSGi launch configuration https://bugs.eclipse.org/bugs/show_bug.cgi?id=308214,nonSAR
Inital timer service implementation,nonSAR
A generic jdbc probe  with a mysql and a postgress probe,nonSAR
JBIDE-5048 - preparation for step 1  getting some APIs in order,nonSAR
MultiSound -> MultiClip; uses SoundBoard.,nonSAR
BUG-13358 site conf validation,nonSAR
316382: support a more strict SSL option with certificates ,nonSAR
ldapadmin - testsuite,nonSAR
Bug 235586 - Code templates: Include guard not unique Patch by Jens Elementhaler,nonSAR
Track whether a dependency is user specified and use that information to log (or not log) warnings for unsupported/private modules,nonSAR
Upgraded TestNG to 5.0,nonSAR
Modified URL sharing and View sharing to work with drag and drop.  Also started listeners automatically.,nonSAR
Depoyed plugin abstract.,nonSAR
[Unit Tests] Organise tests into Fragment plug-ins,nonSAR
this really bothered me! :D,nonSAR
Only ignore certain nbt tags on the first compound level,nonSAR
[PLINK-561] - Michal - Security Context and Level Support.,nonSAR
[SPR-6017] updated DBDR and BDPD to allow for overriding of namespace-specific methods,nonSAR
Multi module maven,nonSAR
reorg some test support files,nonSAR
fail-fast impl. for new client module,nonSAR
JUnit test threads with GroboTestingJUnit,nonSAR
DataCiteConnector: don't rely on handles.,nonSAR
XWIKI-4970: Issues converting a macro from 1.0 to 2.0 Syntax when it contains quotes XWIKI-5252: Converter does not takes into account escaped velocity macros/variables,nonSAR
Pass module to output listener methods,nonSAR
Correct thread start synchronisation to cope with threads that fail to initialise.,nonSAR
[Aldwych] IR future option vol surface construction: passing underlying maturity information into the volsurf construction routine,nonSAR
PDF-529 updated the line and line arrow tools to correctly write out line pobjects.,nonSAR
put the Application and State classes in a new class : AppDetails,nonSAR
Protect entry points methods in expenses sheet window,nonSAR
Test code adaptation. No tests passing yet,nonSAR
Updating the usable methods.,nonSAR
revised the Comments interface,nonSAR
JBIDE-21776 - Cannot deploy docker image to OpenShift with manually entered details,nonSAR
"thread safety: 	use local ErrorListeners 	construct new X*Compilers as needed 	pass Evaluator to functions via ErrorListener.setUserData, not URIResolver",nonSAR
inserted new methods in domain classes and services were corrected,nonSAR
XWIKI-3225 Allow rendering engine to look up for macros from differents sources,nonSAR
[JBIDE-6880] queried wiki page may now contain multiple keys/values.  Unfortunately still bugs present,nonSAR
"For convenience, generate SdtPr/Tag as a non-inner class.",nonSAR
#307 #322 yet another revision with many inconsistencies corrected,nonSAR
Asserting more security policies on the outbound side,nonSAR
RealFullNameValidator now rejects first name consisting of a title such as 'Mr' or 'Mrs',nonSAR
Implemented bundles and games tab in GUI. Bundles and games are detected automatically when artifacts are installed,nonSAR
Worked on experimentation scripts,nonSAR
Database initialization in ETLBaseTest,nonSAR
Refactoring. Introduced a plugin interface. 2 advantages: * both the plugin and the plugin API can implement it and thus don't have to copy paste the Javadoc (except here the mailsender plugin was not implemented following the rule that the API must delegate its calls to the plugin proper) * allows to clearly see what's the plugin API and even create links to it in the documentation.,SAR
massive refactoring for better names  added spring test for archives,SAR
Refactor code to prepare for custom label attributes. #39,SAR
Refactor of some test method names.,SAR
Refactored classes to util package.,SAR
refactoring: rename method,SAR
Some refactorings and cleanup  namely: - Moved all relevant null checks into Resource - Made create firewall use FirewallOptions instead of a Firewall obj - Consolidated a lot of the HttpRequests in the expect tests to allow for reuse (in compute),SAR
Refactoring package structure,SAR
Major Refactor  change Spoutcraft to Client,SAR
Refactoring and cleaning,SAR
refactored code to ease understanding: extracted methods interpolate<type>Field,SAR
refactor-rename of some methods to simplify and clarify (2),SAR
 Refactor changes and remove testprotoversions  This change refactors the PerChannelBookieClient to provide support for request types other than Read and Add entry requests. The bookie protocol has been changed to use unique transaction ids per connection.,SAR
Great Refactoring for managing Geocoding and Reverse Geocoding Event,SAR
JBMAR-75 - heavy refactoring  add ExceptionListener interface  make sure river unmarshaller has comprehensive and correct trace info,SAR
Refactor name of utility class.,SAR
More refactoring to accommodate security updates.  The end goal is to push more of this common code further down so that we are not repeating it all over the place  but this current revision still has it at the top layer for now.,SAR
refactoring for better readability,SAR
Refactoring tests: moved helper classes around,SAR
minor test refactoring,SAR
Renaming and refactoring of authorization classes.,SAR
refactor the compilation stuff into a separate package,SAR
IMPROVE: Refactor package for avoid server client dependency IMPROVE: Remove client classes from final war,SAR
Refactoring to streamline injector creation and provide consistent logging.,SAR
Refactor for significant speed boost for checking for permissions to view activity. Added Organizations to advanced search,SAR
Refactoring to have an independant handler manager,SAR
refactoring the main method. Now it just looks for the anagram in the cache map and request the generation for the non-cached ones,SAR
Refactor: RecoverHoles extract a function that recovers one image,SAR
refactor and rename session manager to session store,SAR
refactor(migration-test): project structure,SAR
Refactoring and enhancing the GUI,SAR
Ugly XPath fix refactored into a new method,SAR
Refactored voidedNotification to voidNotification to fit recurlys object.  Also fixed ability to parse the void_payment_notification webhook.,SAR
Resource adapters were slightly refactored. An IHierarchyAdapter was created.,SAR
code formatting  refactoring & comments,SAR
Refactor to allow InputStream as database input as instead of String.,SAR
refactoring to extract browser-dependent tests into a separate profile.,SAR
Refactor common code to abstract Disks class,SAR
refactor super class to allow sub adaptors to override function,SAR
MX-8 cleaning up the refactored selection panel,SAR
Unit tests and refactoring.,SAR
added preference page to select a source parser - refactored the debugging engine manager to use the base classes it helped spawn - made the selector implementations more generic - synced language implementations with required changes,SAR
refactor the package name,SAR
Refactorized profile classes in order to better complain d20 system.,SAR
[TACHYON-1199] Refactor the code about extracting mLineageWorker to super class,SAR
Preparing to refactor and retrofit regression tests.,SAR
refactoring of the spring projet to use cleaner package names,SAR
Moved all of the files to a new package structure to facilitate further refactoring.,SAR
More refactoring  including a few bugs introduced in earlier commits.,SAR
Refactor Packages and add ignore for bin folder.,SAR
inheritance of namespace declarations for nested bundles,nonSAR
Experimental versions of downsampler and Ryan's deduper are now available either as walker attributes or from the command-line.  Not ready yet!  Downsampling/deduping  works in a general sense  but this approach has not been completely optimized or validated. Use with caution.,nonSAR
converted all request executors to request builders,nonSAR
All working. Also filters fields in configuration (scidata.xml) that contains all the possible comments by the section a user attempts to enter a field from.,nonSAR
Make PutLargeFileTest thread safe,nonSAR
OGM-615 Avoiding superfluous read prior to deletes,nonSAR
update more commons ,nonSAR
Support write the date of Java script data type into report document,nonSAR
some correction for the help system,nonSAR
get put semi-functional for a test,nonSAR
basic marshalling working.,nonSAR
Beta Release,nonSAR
work checkpoint before switching to another branch,nonSAR
SONAR-2084 draft of new page 'Password encryption',nonSAR
MIFOS-3318: code review - remember to unmap mapping for static pages from GenericController so mapping for viewOfficeHierarchy goes through controller and form binding for checkboxes works correctly.,nonSAR
FUSETOOLS-1940 - prepare support for camel community versions (#648),nonSAR
Implement RFC7232 precedence algorithm for preconditions,nonSAR
[MOD] XQuery  API: various updates to finalize RESTXQ,nonSAR
core: Do not pass VdsNetworkInterface as user overrides.,nonSAR
implement missing timelowerbound method,nonSAR
"Factored out ""center"" functionality from showFrameCentered functions",nonSAR
Reorganisation of IPlatformRunnable: Bug 48285 repackage IPlatformRunnable,nonSAR
Aggregate exceptions from concurrently running tasks in the group,nonSAR
handle PrintFlsStatistics combined with PrintTenuringDistribution (#127),nonSAR
[NEW] update rendering,nonSAR
Migration from other code source,nonSAR
Correctly handle duplicat attribute and ontology terms,nonSAR
[snipmatch] Bug 444353: Make Snipmatch editor extensions discoverable,nonSAR
Factorize code which handle translation keys in AbstractStrategy,nonSAR
CLOUDSTACK-6697: bigswitch networking plugin update,nonSAR
Fail fast when plugin is used with an unsupported version of Gradle,nonSAR
retrieve/place orders for logged in user,nonSAR
Updated validation for the new interfaces.,nonSAR
Updates to also publish to ANU when publishing to ANDS.  Updates to provide a more fully fleshed Dublin Core.  Also includes some updates for PAMBU,nonSAR
amend UserDefine rule part,nonSAR
Allow empty password in scm cvs url with pserver protocol. It's for anonymous connection,nonSAR
Update MapsManager on TreeModel updates,nonSAR
PLAN 4303: Symbol transparency persistence,nonSAR
use parm container pool instead of weakbuses,nonSAR
HEAD - 172345 (enable failing tests and make them safe: console log),nonSAR
support a file path to load tomee embedded configuration,nonSAR
Unify fetch and receive ObjectChecker setup,nonSAR
#59 provide standalone distribution,nonSAR
SONAR-8901 New users are members of default organization,nonSAR
ARS is now working  it just needs new schematics  a little polish and a lot of testing,nonSAR
Line codes for line items,nonSAR
Started to implement read-back from cache,nonSAR
"Working on thread safety of RollingAppender  related to LBCLASSIC-142  	 ",nonSAR
Only show warning dialog if save fails due to save participant.,nonSAR
