CommitID,Commit Message
000a02433ae27348082ee0008fe65e3568f21508,added additional device and component abstractions added device and component event listeners
000d011444d9bd24028e59b23e2e20842c9da876,"* In alignment-to-text, tsv or tsv-single-base output there was a column for score but no header. added header. * For the QueueObjectPool, made a more generic interface and added a Null version that always creates new objects. This can be used for performance comparisons. * Added another layer of object abstraction GobySamRecord which contains one or more GobySamSegment. Things that exist for the entire read are stored in this object and the parser returns a GobySamRecord instead of a List<GobySamSegment>. This is easier to understand and models the data better. * Discovered a minor error with GobySamSegment sequence variation generation * Added tests from seq-var to verify seqvar during clipping, indels, etc. Make sure gsnap->sam->GobySamParser gets the same output as gsnap->compact-alignment->display-sequence-variations which enabled me to find one more issue with gsnap->compact-alignment seqvar generation related to soft clipping."
002bb4a596fe2a53e079311c72a0a7dcd0286511,added LooseCouplingRule
007bdbe3db9568eae14b4ae438c5914b020ee98d,"Extracted the administrative methods from the services and into a separate ""ServiceAdministrator"" component.  The use of composition rather than inheritance allows each service to reuse the service management functionality without having to extend a base class.  "
0086c134c688328867c600f4f0768f65779527a2,Added group size message to ECF shared object-over-xmpp messages
008807938f612951c7757ab5f6af6edc9f8bca92,added getSolver() into LUDecomposition
0093e11bcf754e98d4cea5671e5228020e27888e,JBQA-8017 Size rotating handler test rotate-on-boot attribute
00949e3dcfa87a33262f5650fe923a5665a0cb59,fixed WICKET-2076 Need a way to programmaticaly configure the size of the chunk buffer Issue: WICKET-2076
00c06e9e52f416599bb9b906c32857848a9abd39,Performance improvements:  - Memoized MathUtil's cumulative binomial probability function.  - Reduced the default size of the read name map in reduced reads and handle its resets more efficiently.
00cb8a4abd7a11e94b6f6b0b9552b2001f25ecfa,"Make bitcoinSerialize() return a copy by default, provide an unsafeBitcoinSerialize() method for high performance applications that are willing to deal with the extra API complexity."
00e89ef9bde9cda2af1fedd704ed56aedb9840be,tightened implementation of the abstraction of the graph configuration.
011a429ced6b6fe232897c8446071b78fa0aaa3c,improvement: preferred tile size set
01377b12d71a4e9081da92ed437cd7131b712802,Fix bad URL rewriting during CSS inspection when nut comes from heap composition.
0144f93d4f30e86bd18448db7eb2343ef2a7f2f4,* SchemaIndexProviders are now loaded as KernelExtensions * Simplified solution for using in-memory lucene indxes when using an EphemeralFileSystemAbstraction
014dda94e2e055dff42e99f9e03897da08d51080,Make chunk size an argument. Default is -chunk_bits 24 -> 16MB.
0161ed4c1ce5be9fb4db3f15fe5df1f304a9e4b0,Extended renderers to allow a more compositional and traditional approach to interface engineering
